Country;Title;Identification;Abstract;Keywords;Soil properties;Format;Resource locator;Layer;Format2;Resource locator2;Layer2;link_to_viewer;Language;Language2;temporal reference;date of temporal reference;temporal extent-start;temporal extent-end;interval of dates;mix indivual and interval;spatial resolution scale;spatial resolution distance;Usage constraints;Access constraints;name of organisation;email address;contact person;responsible party role;Soil function;Soil threats;Soil Indicators;Source;Lineage;Soil function;Soil threats;Soil Indicators;Done;Comment
France;Carte des teneurs en Capacité dEchange Cationique (CEC) (méthode Riehm);c3a44581-8f7d-5da9-9c8b-25aaf4ab71c3;Map of Cation Exchange Capacity by canton. The analyzes come from the Earth Analysis Database (BDAT).; soil type, basic soil properties;cation exchange capacity;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_bdat/wms?;teneur_cec_bdat;;; ;https://webapps.gissol.fr/geosol/;fre;;pubblication;17-6-2019;an interval of dates;;1995-1999;;1:250000;;no conditions apply;no limitation;INRA InfoSol;infosol@inra.fr;Marion Bardy;Owner;;;;;;;;;Yes;"Filled in, only 1 CEC found; interval 1995-1999 falls in range 1990-2000; after discussion only this record has been filled in, other one (Carte des teneurs en Capacité dEchange Cationique (CEC) (méthode Metson)) kept empty"
France;Carte des teneurs en Capacité dEchange Cationique (CEC) (méthode Metson);;Map of Cation Exchange Capacity by canton. The analyzes come from the Earth Analysis Database (BDAT).; soil type, basic soil properties;cation exchange capacity;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_bdat/wms?;;;; ;https://webapps.gissol.fr/geosol/;fre;;pubblication;17-6-2019;an interval of dates;;1990-1994;;1:250000;;no conditions apply;no limitation;INRA InfoSol;infosol@inra.fr;Marion Bardy;Owner;;;;;;;;;Yes;"Kept empty; only 1 CEC found; interval 1990-1994 falls in range 1990-2000"
France;Carte des teneurs en Carbone par canton;3d9638-3043-507b-bd62-8cb982a96e6a;Map of carbon contents by canton. The analyzes come from the Earth Analysis Database (BDAT).; soil type, basic soil properties;organic carbon ;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_bdat/wms?;teneur_carbone_bdat;;; ;https://agroenvgeo.data.inra.fr/sviewer/?x=358337&y=5901707&z=6&title=Carte%20des%20teneurs%20en%20Carbone%20par%20canton&layers=gissol_bdat:teneur_carbone_bdat;fre;;pubblication;28-5-2015;an interval of dates;;1995-2014;;;1KM;no conditions apply;no limitation;INRA InfoSol;infosol@orleans.inra.fr;Marion Bardy;Owner;;;;;;;;;Yes;
France;Cartogramme du pH;d692fa1f-973f-464f-9e0b-b032eaff29fb;Map of the pH. The data come from the soil analysis results of the 2200 sites of the Soil Quality Measurement Network, during the first sampling campaign.; soil type, basic soil properties;pH;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_rmqs/wms?;teneur_ph_eau_rmqs;;; ;https://agroenvgeo.data.inra.fr/sviewer/?x=358337&y=5901707&z=6&title=Cartogramme%20du%20pH&layers=gissol_rmqs:teneur_ph_eau_rmqs;fre;;pubblication;28-5-2015;;;;;;1KM;no conditions apply;no limitation;INRA InfoSol;infosol@orleans.inra.fr;Marion Bardy;Owner;;;;;;;;;Yes;
France;Médiane des pH KCl ; ;Map of median soil pH (KCl); soil type, basic soil properties;pH;HTML;https://webapps.gissol.fr/geosol/#;;;; ;;fre;;pubblication;2014;an interval of dates;;2010-2014;;1:250000;;no conditions apply;no limitation;INRA InfoSol;infosol@orleans.inra.fr;Marion Bardy;Owner;;;;;;;;;;
France;Contamination en éléments traces métalliques (ETM);e4b53170-f364-4b53-bc17-f5fa482f8aa3;Eight  trace elements (Cd, Cr, Cu, Hg, Ni, Pb, Se, Zn) in agricultural soils in France, results of data collection at national level, 2007; soil degradation processes;soil contamination;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_bdetm/wms?;teneur_cd_tot_bdetm;;; ;https://www.gissol.fr/thematiques/etm-50;fre;;pubblication;2-6-2015;an interval of dates;;1998-2009;;;1KM;no conditions apply;no limitation;INRA InfoSol;infosol@orleans.inra.fr;Denis BAIZE;Owner;;;;;;;;;Yes;"This WMS shows 7 layers with all different 'Identification'; not sure from which layer you want the 'identification', so I took the first one"
France;L’aléa d’érosion des sols par petite région agricole; ;The risk of soil erosion by small agricultural area; soil degradation processes;soil erosion;XLS;http://147.100.179.105/gissol/wp-content/uploads/2015/04/tableau_donnees_alea_erosion.zip; ;;; ;https://www.gissol.fr/thematiques/erosion-des-sols-48;fre;;pubblication;2011;;;;;1:1 M;;no conditions apply;no limitation;INRA InfoSol;infosol@orleans.inra.fr;Bernard Morel;Owner;;;;;;;;;;
France;Les sols dominants de France métropolitaine; ;The dominat soils map of France represents essentially the strong influence of the nature of the mineral material in which the soils have been formed and evolve.; soil type, basic soil properties;Soil Map;WFS;https://agroenvgeo.data.inra.fr/geoserver/wfs; ;;; ;;fre;;pubblication;2011;;;;;1:1 M;;no conditions apply;no limitation;INRA InfoSol;infosol@inra.fr;Le Bas, Christine;Owner;;;;;;;;;;
France;Carte du nom de sol dominant en WRB issue de la Base de Données Géographique des Sols de France; ;Geographic Database of Soils of France at 1 / 1,000,000 version 3.2.8.0, 10/09/1998; soil type, basic soil properties;Soil Map;WFS;https://agroenvgeo.data.inra.fr/geoserver/wfs; ;;; ;https://agroenvgeo.data.inra.fr/sviewer/?x=358337&y=5901707&z=6&title=Carte%20du%20nom%20de%20sol%20dominant%20en%20WRB%20issue%20de%20la%20Base%20de%20Donn%C3%A9es%20G%C3%A9ographique%20des%20Sols%20de%20France&layers=inra_bdgsf:geometrie_bdgsf;fre;eng;pubblication;17-6-2019;an individual date;10-9-1998;;;1:1 M;;no conditions apply;no limitation;INRA - Institut National de la Recherche Agronomique;infosol@inra.fr;Le Bas, Christine;Owner;;;;;;;;;;
France;La profondeur des sols en France métropolitaine; ;Soil depth in metropolitan France; soil type, basic soil properties;soildepth;PDF;http://147.100.179.105/gissol/RESF_pdf/chap%202_p45_logo.pdf; ;;; ;https://www.gissol.fr/donnees/cartes/la-profondeur-des-sols-en-france-metropolitaine-1493;fre;;pubblication;12-5-1998;;;;;1:1 M;;no conditions apply;no limitation;INRA InfoSol;infosol@orleans.inra.fr;Bernard Morel;Owner;;;;;;;;;;
France;Classes de text FAO; ;Map of soil texture (FAO); soil type, basic soil properties;texture ;HTML;https://webapps.gissol.fr/geosol/; ;;; ;;fre;;pubblication;2014;an interval of dates;;1990-2014;;1:250000;;no conditions apply;no limitation;INRA InfoSol;infosol@inra.fr;Le Bas, Christine;Owner;;;;;;;;;;
France;Médiane des teneurs en Argile; ;Map of median clay soil content g/kg; soil type, basic soil properties;texture ;HTML;https://webapps.gissol.fr/geosol/; ;;; ;;fre;;pubblication;2014;an interval of dates;;1990-2014;;1:250000;;no conditions apply;no limitation;INRA InfoSol;infosol@inra.fr;Le Bas, Christine;Owner;;;;;;;;;;
France;Médiane des teneurs en Sables totaux; ;Map of median total sand soil content g/kg; soil type, basic soil properties;texture ;HTML;https://webapps.gissol.fr/geosol/; ;;; ;;fre;;pubblication;2014;an interval of dates;;1990-2014;;1:250000;;no conditions apply;no limitation;INRA InfoSol;infosol@inra.fr;Le Bas, Christine;Owner;;;;;;;;;;
France;Médiane des teneurs en Limons totaux; ;Map of median total silt soil content g/kg; soil type, basic soil properties;texture ;HTML;https://webapps.gissol.fr/geosol/; ;;; ;;fre;;pubblication;2014;an interval of dates;;1990-2014;;1:250000;;no conditions apply;no limitation;INRA InfoSol;infosol@inra.fr;Le Bas, Christine;Owner;;;;;;;;;;
France;BDETM (période 1990 - 2010) : Statistiques spatio-temporelles par petite région agricole des textures (argiles, limons, sables) issues d’observations collectées dans le cadre du programme BDETM; ;Spatio-temporal statistics by small agricultural region of textures (clays, silts, sands) resulting from observations collected under the BDETM program  (period 1990 - 2010); soil type, basic soil properties;texture ;WFS;https://agroenvgeo.data.inra.fr/geoserver/gissol_geosol/wfs?service=WFS&version=2.0.0&request=GetFeature&typeName=gissol_geosol:bdetm_pra_9010&outputFormat=shape-zip; ;SHP;https://agroenvgeo.data.inra.fr/geoserver/gissol_geosol/wfs?typeName=gissol_geosol:bdetm_pra_9010&outputFormat=shape-zip&request=GetFeature&service=WFS&version=2.0.0; ;;fre;;pubblication;27-6-2019;an interval of dates;;1990-2010;;1:250000;;no conditions apply;no limitation;INRA - Institut National de la Recherche Agronomique;infosol@inra.fr;Le Bas, Christine;Owner;;;;;;;;;;
France;Carte des teneurs en azote total par canton (BDAT);575b4b32-2f3e-5c4d-bab6-debdde4f7ac8;Map of total Nitrogen content by canton. The analyzes come from the Earth Analysis Database (BDAT).; soil type, basic soil properties;total nitrogen ;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_bdat/wms?;teneur_n_tot_bdat;;; ;https://webapps.gissol.fr/geosol/;fre;;pubblication;17-6-2019;an interval of dates;;1990-2014;;1:250000;;no conditions apply;no limitation;INRA InfoSol;infosol@orleans.inra.fr;Marion Bardy;Owner;;;;;;;;;Yes;
Germany;Wasserhaushalt der Böden in Deutschland;641D1613-5E4B-43B6-A0CB-723371356E62;Soil water balance in Germany. The theme maps of soil water balance in Germany are based on the landuse stratified soil map of Germany; soil type, basic soil properties;avaliable water capacity;WMS;https://services.bgr.de/wms/boden/bodenwasserhaushalt/?;0,1,2,3,4,5,6,7,8,9;GEOTiff;https://download.bgr.de/bgr/Boden/FK10DM1000/geotiff/FK10dm1000_250.zip; ;https://geoviewer.bgr.de/mapapps/resources/apps/geoviewer/index.html?lang=de&serviceURL=https://services.bgr.de/wms/boden/bodenwasserhaushalt/%3F;ger;;pubblication;9-6-2017;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;SteggerUlrich;Resource provider;;;;;;;;;Yes;All layers have the same identifiers
Germany;Luftkapazität der Böden im effektiven Wurzelraum in Deutschland;d60d8925-06fd-455d-b5fe-62ad78766e0a;The map of the air capacity of soils in Germany gives an overview of the content of air in a soil at field capacity; soil type, basic soil properties;avaliable water capacity;WMS;https://services.bgr.de/wms/boden/lkwe1000/?;0;GEOTiff;https://download.bgr.de/bgr/boden/LKWE1000/geotiff/LKWe1000_250.zip; ;https://geoviewer.bgr.de/mapapps/resources/apps/geoviewer/index.html?lang=de&serviceURL=https://services.bgr.de/wms/boden/lkwe1000/%3F;ger;;pubblication;26-11-2015;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;SteggerUlrich;Resource provider;;;;;;;;;Yes;
Germany;Wasserspeicherfähigkeit (Feldkapazität) der Böden Deutschlands bis in 1m Tiefe;1f9cac1e-ac71-4007-bec1-bdf979fa4403;The map of the field capacity of soils in Germany gives an overview of the amount of water which can be stored in a soil (depth 1 m); soil type, basic soil properties;avaliable water capacity;WMS;https://services.bgr.de/wms/boden/fk10dm1000/?;0;GEOTiff;https://download.bgr.de/bgr/Boden/FK10DM1000/geotiff/FK10dm1000_250.zip; ;https://geoviewer.bgr.de/mapapps/resources/apps/geoviewer/index.html?lang=de&serviceURL=https://services.bgr.de/wms/boden/fk10dm1000/%3F;ger;;pubblication;26-11-2015;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;SteggerUlrich;Resource provider;;;;;;;;;Yes;
Germany;Bodenaciditaet;;Map of soil acidity  (pH  0 - 140 cm); soil type, basic soil properties;pH;WMS;https://gdi.thuenen.de/geoserver/bze1_wald/wms?service=WMS&version=1.3.0&request=GetCapabilities; v_jrc_4km_bodenaciditaet;KML;https://gdi.thuenen.de/geoserver/bze1_wald/wfs?service=WFS&version=1.0.0&request=GetFeature&outputFormat=KML&typeName=v_jrc_4km_bodenaciditaet; ;http://gdi.thuenen.de/wo/bze/bze1/;ger;eng;pubblication;30-11-2011;an interval of dates;;1996-2012;;;8Km;no conditions apply;no limitation;Thünen-Institut für Waldökosysteme;geoadmin@thuenen.de;;Resource provider;;;;;;;;;Yes;Same layer name, same dataset?
Germany;Bodenaciditaet;;Map of soil acidity  (pH KCL 0 - 140 cm); soil type, basic soil properties;pH;WMS;https://gdi.thuenen.de/geoserver/bze1_wald/wms?service=WMS&version=1.3.0&request=GetCapabilities; v_jrc_4km_bodenaciditaet;SHP;https://gdi.thuenen.de/geoserver/bze1_wald/ows?typeName=bze1_wald:bze1_jrc4km&service=WFS&version=1.0.0&request=GetFeature&outputFormat=SHAPE-ZIP&viewparams=thema:phkcl_t1; ;http://gdi.thuenen.de/wo/bze/bze1/;ger;eng;pubblication;30-11-2011;an interval of dates;;1996-2012;;;8Km;no conditions apply;no limitation;Thünen-Institut für Waldökosysteme;geoadmin@thuenen.de;;Resource provider;;;;;;;;;Yes;Same layer name, same dataset?
Germany;Gehalte an organischer Substanz in Oberböden Deutschlands;02F23B5B-5FB8-48BA-ADDA-7ECA7481C4DE;Organic Matter Content of Top-Soils in Germany 1:1,000,000; soil type, basic soil properties;organic carbon ;WMS;https://services.bgr.de/wms/boden/humus1000ob/?;0;SHP;https://download.bgr.de/bgr/Boden/HUMUS1000OB/shp/humus1000_ob_v20.zip; ;https://geoviewer.bgr.de/mapapps4/resources/apps/geoviewer/index.html?lang=en&serviceURL=https://services.bgr.de/rest/services/boden/humus1000ob/MapServer/&layers=-boden_boart1000ob_ags;ger;;pubblication;2007;an interval of dates;;"2006;2007";;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);Florian.Stange@bgr.de;Palo di Florian;Resource provider;;;;;;;;;Yes;
Germany;Grundwasserbeeinflussung der Böden in Deutschland;33b088ba-49e9-4186-a9ef-80dee2f92586;The map of the groundwater influence on soils in Germany gives an overview of depth of groundwater below the surface. Soils that are influenced by groundwater usually have a limited crop yield; soil degradation processes;soil contamination;WMS;https://services.bgr.de/wms/boden/gws1000/?;0;GEOTiff;https://download.bgr.de/bgr/boden/GWS1000/geotiff/GWS1000_250.zip; ;https://geoviewer.bgr.de/mapapps4/resources/apps/geoviewer/index.html?lang=en&serviceURL=https://services.bgr.de/wms/boden/gws1000/?&layers=-boden_nfkwe1000_ags;ger;;pubblication;26-11-2015;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;Yes;
Germany;Stoffe in Böden in Deutschland;fffdf08f-8ee8-4802-8354-5e6df694b0c7;Soil substances in Germany. In addition to substances that serve as nutrients for the plants, there are also pollutants in the soil which in higher concentrations can impair the growth of plants and animals. Some substances (e.g., nickel) are essential in low concentrations but in higher concentrations they are toxi; soil degradation processes;soil contamination;WMS;https://services.bgr.de/wms/boden/bodenstoffe/?SERVICE=WMS&REQUEST=GetCapabilities;4,6,13,20,27,34,41,48,55,62,69,76,83,90,97,104;;; ;https://geoviewer.bgr.de/mapapps/resources/apps/geoviewer/index.html?lang=de&serviceURL=https://services.bgr.de/wms/boden/bodenstoffe/%3F;ger;;creation;19-6-2017;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;Yes;All layers have the same identifiers
Germany;Potentielle Verdichtungsempfindlichkeit der Böden in Deutschland;;The map of Soil compaction susceptibility of soils in Germany gives an overview of the exposure of arable land to soil compaction. It shows the area of soils which are threatened by soil compaction at 35 cm depth; soil degradation processes;soil compaction;WMS;https://services.bgr.de/wms/boden/ld1000/?SERVICE=WMS&REQUEST=GetCapabilities;;GEOTiff;https://download.bgr.de/bgr/boden/LD1000/geotiff/LD1000_250.zip; ;https://geoviewer.bgr.de/mapapps/resources/apps/geoviewer/index.html?lang=de&serviceURL=https://services.bgr.de/wms/boden/ld1000/%3F;ger;;pubblication;27-9-2019;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;Yes;Resource Locator not working
Germany;Potentielle Erosionsgefährdung der Ackerböden durch Wasser in Deutschland 1:1.000.000;876F61A9-36C0-4CDD-9FC1-C243685BC1E8;The Potential Soil Erosion Risk map gives an overview of the exposure of arable soils to soil loss due to surface runoff and splash erosion in Germany. It is based on pedological, relief and climatic factors; soil degradation processes;soil erosion;WMS;https://services.bgr.de/wms/boden/pegwasser1000/?;1,3,5,7;TIFF;https://download.bgr.de/bgr/Boden/PEGWASSER1000/tiff300/pegwasser1000_250_v10.zip; ;https://geoviewer.bgr.de/mapapps4/resources/apps/geoviewer/index.html?lang=en&serviceURL=https://services.bgr.de/wms/boden/pegwasser1000/?;ger;;pubblication;30-6-2015;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;Yes;All layers have the same identifiers
Germany;Bodenübersichtskarte; ;General Soil Map. Each legend unit contains soil systematic information as well as information about the soil parent material of each dominant and associated soil; soil type, basic soil properties;Soil Map;html;https://www.bgr.bund.de/DE/Themen/Boden/Projekte/Informationsgrundlagen-laufend/BUEK200/BUEK200.html; ;SHP;https://download.bgr.de/bgr/Boden/BUEK2000/shp/buek2000_v20.zip; ;https://geoviewer.bgr.de/mapapps4/resources/apps/geoviewer/index.html?lang=en&serviceURL=https://services.bgr.de/wms/boden/buek200/?;ger;;pubblication;1-3-2018;;;;;1:200000;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;;
Germany;Soil Map of Germany 1:1,000,000 (BÜK1000);;Soil Map of the Federal Republic of Germany 1:1,000,000 - English version (BÜK 1000 EN), Version 2.1; soil type, basic soil properties;Soil Map;WMS;https://services.bgr.de/wms/boden/buek1000/?;;SHP;https://download.bgr.de/bgr/Boden/BOART1000/shp/boart1000_ob_v20.zip; ;https://geoviewer.bgr.de/mapapps4/resources/apps/geoviewer/index.html?lang=en&serviceURL=https://services.bgr.de/wms/boden/buek1000en/?;ger;;pubblication;31-12-2007;an interval of dates;;"1992;2007-12-31";;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;Yes;Resource Locator not working
Germany;Bodenübersichtskarte der Bundesrepublik Deutschland 1:5.000.000;0086CC52-6F67-4393-99BE-7D3AB1B84160;Soil Map of the Federal Republic of Germany 1:5,000,000. Focused on information about the parent material, and generalization; soil type, basic soil properties;Soil Map;WMS;https://services.bgr.de/wms/boden/buek5000/?;0;SHP;https://download.bgr.de/bgr/Boden/BGL5000/shp/bgl5000_v20.zip; ;https://geoviewer.bgr.de/mapapps4/resources/apps/geoviewer/index.html?lang=en&serviceURL=https://services.bgr.de/wms/boden/buek5000/?&layers=-boden_buek1000_container;ger;;pubblication;2006;;;;;1:5 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;Yes;
Germany;Nutzungsdifferenzierte Bodenübersichtskarte der Bundesrepublik Deutschland 1:1.000.000 - Auszug Grünlandböden und landwirtschaftliche Flächen heterogener Struktur; ;Use-differentiated soil survey map of the Federal Republic of Germany 1: 1.000.000 - Excerpt grassland soils and agricultural areas of heterogeneous structure; soil type, basic soil properties;Soil Map;ACCDB;https://download.bgr.de/bgr/Boden/BUEK1000N/Gruenland/mdb/buek1000n_Gruenland_v231.zip; ;;; ;;ger;;pubblication;22-2-2013;;;;;1:200000;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);fis.bo@bgr.de;Andreas Richter;Resource provider;;;;;;;;;;
Germany;Effektive Durchwurzelungstiefe der Böden in Deutschland;edcd248c-2781-4108-a437-2a700908887e;Effective rooting depth of soils in Germany (dm). The effective rooting depth is the size of the soil reservoir that the plant can reach to get water in years of drought; soil type, basic soil properties;soildepth;WMS;https://services.bgr.de/wms/boden/we1000/?;0;GEOTiff;https://download.bgr.de/bgr/boden/WE1000/geotiff/We1000_250.zip; ;https://geoviewer.bgr.de/mapapps4/resources/apps/geoviewer/index.html?lang=en&serviceURL=https://services.bgr.de/wms/boden/we1000/?&layers=-boden_nfkwe1000_ags;ger;;pubblication;12-8-2010;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;Yes;
Germany;Physiologische Gründigkeit der Böden Deutschlands;faee466f-27c1-44c9-bcb8-3c2bec8b1116;The map of the soil depth gives an overview of the rooting capacity of German soils. The soil depth is derived from profile data of the landuse stratified soil map of Germany at scale 1:1,000,000; soil type, basic soil properties;soildepth;WMS;https://services.bgr.de/wms/boden/physgru1000/?;0;GEOTiff;https://download.bgr.de/bgr/Boden/PHYSGRU1000/geotiff/PhysGru1000_250.zip; ;https://geoviewer.bgr.de/mapapps/resources/apps/geoviewer/index.html?lang=de&serviceURL=https://services.bgr.de/wms/boden/physgru1000/%3F;ger;;pubblication;26-11-2015;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;Yes;
Germany;Eigenschaften der Böden in Deutschland;DADB8BB6-4A7A-4CB7-908D-EA0767B068D7;The soil type describes the size of the mineral particles. The content of organic matter in the upper soil determines how much water or how much nutrients can be stored in the soil. ; soil type, basic soil properties;texture ;WMS;https://services.bgr.de/wms/boden/bodeneigenschaften/?;0,1,2;;; ;https://geoviewer.bgr.de/mapapps/resources/apps/geoviewer/index.html?lang=de&serviceURL=https://services.bgr.de/wms/boden/bodeneigenschaften/%3F;ger;;pubblication;19-6-2017;;;;;1:1 M;;no conditions apply;no limitation;Bundesanstalt für Geowissenschaften und Rohstoffe (BGR);geodatenmanagement@bgr.de;Stegger Ulrich;Resource provider;;;;;;;;;Yes;All layers have the same identifiers
Germany;First German Agricultural Soil Inventory; ;The Federal Republic of Germany is obliged to report all anthropogenic sources and sinks of greenhouse gases on a national scale. Changes in soil organic carbon (SOC) stocks are among these sources and sinks. Furthermore, soil organic matter is a key indicator of soil fertility. The Thünen Institute of Climate-Smart Agriculture was commissioned by the German Federal Ministry of Food and Agriculture to conduct the first German agricultural soil inventory and obtain a first representative and consistent baseline of SOC stocks in agricultural soils across Germany. Potential explanatory variables were also assessed. Between 2009 and 2018, a total of 3104 field sites were sampled in a 8x8 km grid (Jacobs et al., 2018). ; soil type, basic soil properties;texture ;xls;https://doi.org/10.3220/DATA20200203151139; ;;; ;https://arcg.is/1XXTyv0;ger;eng;pubblication;20-5-2020;an interval of dates;;"2009;2018";;;8Km;no conditions apply;no limitation;Thünen Institut für Agrarklimaschutz;ak@thuenen.de;Christopher Poeplau;Principal investigator;;;;;;;;;;
Germany;First German Agricultural Soil Inventory; ;The Federal Republic of Germany is obliged to report all anthropogenic sources and sinks of greenhouse gases on a national scale. Changes in soil organic carbon (SOC) stocks are among these sources and sinks. Furthermore, soil organic matter is a key indicator of soil fertility. The Thünen Institute of Climate-Smart Agriculture was commissioned by the German Federal Ministry of Food and Agriculture to conduct the first German agricultural soil inventory and obtain a first representative and consistent baseline of SOC stocks in agricultural soils across Germany. Potential explanatory variables were also assessed. Between 2009 and 2018, a total of 3104 field sites were sampled in a 8x8 km grid (Jacobs et al., 2018). ; soil type, basic soil properties;calcium carbonate ;xls;https://doi.org/10.3220/DATA20200203151139; ;;; ;https://arcg.is/1XXTyv0;ger;eng;pubblication;20-5-2020;an interval of dates;;"2009;2018";;;8Km;no conditions apply;no limitation;Thünen Institut für Agrarklimaschutz;ak@thuenen.de;Christopher Poeplau;Principal investigator;;;;;;;;;;
Germany;First German Agricultural Soil Inventory; ;The Federal Republic of Germany is obliged to report all anthropogenic sources and sinks of greenhouse gases on a national scale. Changes in soil organic carbon (SOC) stocks are among these sources and sinks. Furthermore, soil organic matter is a key indicator of soil fertility. The Thünen Institute of Climate-Smart Agriculture was commissioned by the German Federal Ministry of Food and Agriculture to conduct the first German agricultural soil inventory and obtain a first representative and consistent baseline of SOC stocks in agricultural soils across Germany. Potential explanatory variables were also assessed. Between 2009 and 2018, a total of 3104 field sites were sampled in a 8x8 km grid (Jacobs et al., 2018). ; soil type, basic soil properties;pH;xls;https://doi.org/10.3220/DATA20200203151139; ;;; ;https://arcg.is/1XXTyv0;ger;eng;pubblication;20-5-2020;an interval of dates;;"2009;2018";;;8Km;no conditions apply;no limitation;Thünen Institut für Agrarklimaschutz;ak@thuenen.de;Christopher Poeplau;Principal investigator;;;;;;;;;;
Germany;First German Agricultural Soil Inventory; ;The Federal Republic of Germany is obliged to report all anthropogenic sources and sinks of greenhouse gases on a national scale. Changes in soil organic carbon (SOC) stocks are among these sources and sinks. Furthermore, soil organic matter is a key indicator of soil fertility. The Thünen Institute of Climate-Smart Agriculture was commissioned by the German Federal Ministry of Food and Agriculture to conduct the first German agricultural soil inventory and obtain a first representative and consistent baseline of SOC stocks in agricultural soils across Germany. Potential explanatory variables were also assessed. Between 2009 and 2018, a total of 3104 field sites were sampled in a 8x8 km grid (Jacobs et al., 2018). ; soil type, basic soil properties;soildepth;xls;https://doi.org/10.3220/DATA20200203151139; ;;; ;https://arcg.is/1XXTyv0;ger;eng;pubblication;20-5-2020;an interval of dates;;"2009;2018";;;8Km;no conditions apply;no limitation;Thünen Institut für Agrarklimaschutz;ak@thuenen.de;Christopher Poeplau;Principal investigator;;;;;;;;;;
Germany;First German Agricultural Soil Inventory; ;The Federal Republic of Germany is obliged to report all anthropogenic sources and sinks of greenhouse gases on a national scale. Changes in soil organic carbon (SOC) stocks are among these sources and sinks. Furthermore, soil organic matter is a key indicator of soil fertility. The Thünen Institute of Climate-Smart Agriculture was commissioned by the German Federal Ministry of Food and Agriculture to conduct the first German agricultural soil inventory and obtain a first representative and consistent baseline of SOC stocks in agricultural soils across Germany. Potential explanatory variables were also assessed. Between 2009 and 2018, a total of 3104 field sites were sampled in a 8x8 km grid (Jacobs et al., 2018). ; soil type, basic soil properties;soil compaction;xls;https://doi.org/10.3220/DATA20200203151139; ;;; ;;ger;eng;pubblication;20-5-2020;an interval of dates;;"2009;2018";;;8Km;no conditions apply;no limitation;Thünen Institut für Agrarklimaschutz;ak@thuenen.de;Christopher Poeplau;Principal investigator;;;;;;;;;;
Germany;First German Agricultural Soil Inventory; ;The Federal Republic of Germany is obliged to report all anthropogenic sources and sinks of greenhouse gases on a national scale. Changes in soil organic carbon (SOC) stocks are among these sources and sinks. Furthermore, soil organic matter is a key indicator of soil fertility. The Thünen Institute of Climate-Smart Agriculture was commissioned by the German Federal Ministry of Food and Agriculture to conduct the first German agricultural soil inventory and obtain a first representative and consistent baseline of SOC stocks in agricultural soils across Germany. Potential explanatory variables were also assessed. Between 2009 and 2018, a total of 3104 field sites were sampled in a 8x8 km grid (Jacobs et al., 2018). ; soil type, basic soil properties;total nitrogen ;xls;https://doi.org/10.3220/DATA20200203151139; ;;; ;https://arcg.is/1XXTyv0;ger;eng;pubblication;20-5-2020;an interval of dates;;"2009;2018";;;8Km;no conditions apply;no limitation;Thünen Institut für Agrarklimaschutz;ak@thuenen.de;Christopher Poeplau;Principal investigator;;;;;;;;;;
