Country;Identifier;resource title;Database owner;ExternalID;Sharing policy;otherConstraints;SCORPAN;Remote sensed data;Reference year;frequency of data collection;spatial reference;spatial entity;geomety of mapping area;mapping area;ratio of map cover;Spatial resolution;other spatial reference;data collection methodology;method of mapping;depth intervals;with uncertainty quantification;IF  relevant,Was it compared with LUCAS data? IF YES, please  give a reference;YOUR OTHER COMMENTS
Czech republic;BPEJ;Bonitované půdně ekologické jednotky (Evaluated Soil Ecological units);State Land Office Czech Republic;https://www.spucr.cz/bpej;No restrictions;;S - Soil;no/not relevant;1971-now;otherRestrictions;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";only agricultural land use (forests and protected area are not covered, because of it we couldn´t say FULL);75-100;1:5.000;;borehole description;conventional mapping;defined as  topsoil/subsoil  only, without any other desription;NO;no;BPEJ is identified as five-place code. It gives an information not only about the soil itself (main charakteristics and classification), but also about the basic stand characteristics like slope, exposition and climatic conditions.
Czech republic;LandRegistryLPIS(LandParcelIdentificationSystem)-AZZP;Land Registry LPIS (Land Parcel Identification System) - AZZP;Ministry of Agriculture Czech Republic;http://eagri.cz/public/web/mze/farmar/LPIS/;otherRestrictions;Partially freely available, detail informations are availabe only for land block owners;S - Soil;no/not relevant;;regular monitoring 5-10 years;YES, georeferenced;FARMER_Block LPI,POLYGON WITH Land Parcel Identification (LPI) is  available for farmer's block;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";only agricultural land use (forests and protected area are not covered, because of it we couldn´t say FULL);75-100;;;topsoil and subsoil;conventional mapping;defined as  topsoil/subsoil  only, without any other desription;NO;no;
Czech republic;Registerofcontaminatedareas;Register of contaminated areas;Ministry of Agriculture Czech Republic;http://eagri.cz/public/web/file/520923/Publikace_25_let_Monitoring_Zemedelskych_pud_1992_2013.pdf;Restricted;;S - Soil;no/not relevant;1990 till now;it was a single survey;YES, georeferenced;POINT;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";only  CONTAMINATED agricultural soil (forests and protected area are not covered, because of it we couldn´t say FULL);okt-25;cca 66500 points per country;;"1 composite sample = 30 incremental samples, arable land 1 sample / 7-10ha, hopgardens and orchards 1 sample / 3ha, vineyards 1 sample / 2ha; sampling is not repeated";;only topsoil,grassland 0-15 cm, others max 30 cm;NO;no;"50148 points/samples - risk elements are analysed in 2M HNO3; 16400 points/sample - risk elements are analysed in AR"
Czech republic;Basalsoilmonitoring;Basal soil monitoring - basic;Ministry of Agriculture Czech Republic;http://eagri.cz/public/web/file/520923/Publikace_25_let_Monitoring_Zemedelskych_pud_1992_2013.pdf;Restricted;;S - Soil;no/not relevant;1992 till now;otherRestrictions;YES, georeferenced;POINT;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";only agricultural land use (forests and protected area are not covered, because of it we couldn´t say FULL);75-100;214 point;;"Arable land samples are taken from topsoil (according to the thickness of the horizon, maximum up to 25 cm) and subsoil (35–60 cm), in orchards and vineyards also from two horizons (0–30 cm, 30–60 cm), on hop fields from topsoil (10–40 cm) and subsoil (40–70 cm); for permanent grassland from three layers (0–10 cm, 10–25 cm, 25–40 cm; always after removing the upper sod layer)                                                                For organic pollutants only topsoil horizon, for mineral nitrogen - topsoil and subsoil";conventional mapping;defined as  topsoil/subsoil  only, without any other desription;NO;no; 
Belgium;3f507fd9-24c0-40ab-9328-29f0dff571fe;DOV soil database for Flanders;Vlaamse overheid, Departement Omgeving, Vlaams Planbureau voor Omgeving (VPO);https://www.dov.vlaanderen.be/geonetwork/srv/dut/catalog.search#/metadata/3f507fd9-24c0-40ab-9328-29f0dff571fe;No restrictions;;S - Soil;no/not relevant;1947-2020;otherRestrictions;YES, georeferenced;POINT;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;available as points;;;borehole/profile;no mapping (points);otherRestrictions;NO;no;geneitic horizons and depth intervals
Belgium;a1547a01-b9fc-40fa-a2eb-009a39c02c7b;Soil map of Flanders (1:20.000);Vlaamse overheid, Departement Omgeving, Vlaams Planbureau voor Omgeving (VPO);https://www.dov.vlaanderen.be/geonetwork/srv/dut/catalog.search#/metadata/a1547a01-b9fc-40fa-a2eb-009a39c02c7b;No restrictions;;S - Soil;no/not relevant;1947-1978;it was a single survey;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;1:20.000;;borehole/profile;conventional mapping;;NO;;
Belgium;bf8c35ad-ab45-4084-b1e1-3042c66204aa;Soil Organic Carbon Stock Maps for Belgium (40m grid);Vlaamse overheid, Departement Omgeving, Vlaams Planbureau voor Omgeving (VPO);https://www.dov.vlaanderen.be/geonetwork/srv/dut/catalog.search#/metadata/bf8c35ad-ab45-4084-b1e1-3042c66204aa;No restrictions;;S - Soil;no/not relevant;;;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;40m grid;;borehole/profile;geostatistics;Other  depth intervals (specify in comments);YES;;depth intervals of the GSOC map (0-30cm)
Belgium;298d34a4-d459-4fc8-a9be-e8e26cd9b354;Potential soil erosion map of Flanders;Vlaamse overheid, Departement Omgeving, Vlaams Planbureau voor Omgeving (VPO);https://www.dov.vlaanderen.be/geonetwork/srv/dut/catalog.search#/metadata/298d34a4-d459-4fc8-a9be-e8e26cd9b354;No restrictions;;S - Soil;no/not relevant;every year a new map;regular monitoring, yearly;YES, georeferenced;AGRI_PARCEL LPI,POLYGON WITH Land Parcel Identification (LPI) is  available for agricultural parcel;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;agricultural parcel level based on 5m grid;;modeling;RUSLE;;NO;;
Belgium;692a9efb-8509-4a6f-a3be-6887f969867d;Uitgevoerde gemeentelijke erosiebestrijdingswerken (soil erosion control measures);Vlaamse overheid, Departement Omgeving, Vlaams Planbureau voor Omgeving (VPO);https://www.dov.vlaanderen.be/geonetwork/srv/dut/catalog.search#/metadata/692a9efb-8509-4a6f-a3be-6887f969867d;No restrictions;;S - Soil;no/not relevant;;;YES, georeferenced;ADMIN_POLYGONS, e.g. municipalities, polygons with administrative boundaries, other than agricultural blocks/farms;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;; <10;;;;terrain observations;;NO;;
Belgium;83c46eae-a202-454c-b063-a858be3e4335;WRB Soil units 40k;Vlaamse overheid, Departement Omgeving, Vlaams Planbureau voor Omgeving (VPO);https://www.dov.vlaanderen.be/geonetwork/srv/dut/catalog.search#/metadata/83c46eae-a202-454c-b063-a858be3e4335;No restrictions;;S - Soil;no/not relevant;1947-1978;it was a single survey;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;1:40.000;;borehole/profile;;;NO;;
Belgium;64e8a11d-5602-4ad5-b370-e4d396fe218f;WRB Reference Soil Groups 250k;Vlaamse overheid, Departement Omgeving, Vlaams Planbureau voor Omgeving (VPO);https://www.dov.vlaanderen.be/geonetwork/srv/dut/catalog.search#/metadata/64e8a11d-5602-4ad5-b370-e4d396fe218f;No restrictions;;S - Soil;no/not relevant;1947-1978;it was a single survey;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;1:250.000;;borehole/profile;;;NO;;
Belgium;9d3df29f-ac3b-497d-9ed7-097e37232151;Bodemafdekkingskaart 2015 (BAK), 5 m resolutie (Soil sealing rate);Vlaamse overheid, Agentschap Informatie Vlaanderen;http://www.geopunt.be/catalogus/datasetfolder/9d3df29f-ac3b-497d-9ed7-097e37232151;No restrictions;;S - Soil;Remote sensed;2015;regular  monitoring 2-5 years;YES, georeferenced;GRID;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;5 m grid;;;;;NO;;
Belgium;2035e01e-eef5-4806-948c-df7b966169a1;Gevoeligheid voor grondverschuivingen (susceptilbity landslides);Vlaamse overheid, Departement Omgeving, Vlaams Planbureau voor Omgeving (VPO);https://www.dov.vlaanderen.be/geonetwork/srv/dut/catalog.search#/metadata/2035e01e-eef5-4806-948c-df7b966169a1;No restrictions;;S - Soil;no/not relevant;2009;it was a single survey;YES, georeferenced;GRID;otherRestrictions;only for the region where landslides occur;okt-25;10 m grid;;;;;NO;;
Belgium;5e1146a5-4f72-4e93-a71d-8297d3dfec6c;Gekarteerde grondverschuivingen (mapped landslides);Vlaamse overheid, Departement Omgeving, Vlaams Planbureau voor Omgeving (VPO);https://www.dov.vlaanderen.be/geonetwork/srv/dut/catalog.search#/metadata/5e1146a5-4f72-4e93-a71d-8297d3dfec6c;No restrictions;;S - Soil;no/not relevant;2009;it was a single survey;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;otherRestrictions;only for the region where landslides occur;okt-25;;;;;;NO;;
Belgium;c4f51b28-51bf-4189-8e98-72b94ae8da13;Bodemassociatiekaart (1:500.000);Vlaamse overheid, Vlaamse Landmaatschappij;https://www.geopunt.be/catalogus/datasetfolder/c4f51b28-51bf-4189-8e98-72b94ae8da13;No restrictions;;S - Soil;no/not relevant;1972;it was a single survey;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:500.000;;;;;NO;;
Belgium;Bemestingsallocatie;Estimation of amount of fertilizer (mineral fertilizer/animal manure)  yearly applied to each agricultural parcel in Flanders;Vlaamse overheid, Vlaamse Landmaatschappij;;Restricted;;O - Organisms;no/not relevant;;regular monitoring, yearly;YES, georeferenced;AGRI_PARCEL LPI,POLYGON WITH Land Parcel Identification (LPI) is  available for agricultural parcel;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;Vector;;;;;NO;;Estimation based on the availability of manure on a farm, crop types and maximum allowed by manure decree (Nitrates Directive)
Belgium;7cc9babc-e021-46bc-abb6-1b74d44b14ea;Landbouwgebruikspercelen (Land parcel identification);Vlaamse overheid, Departement Landbouw & Visserij;http://www.geopunt.be/catalogus/datasetfolder/7cc9babc-e021-46bc-abb6-1b74d44b14ea;No restrictions;;O - Organisms;;2008;regular monitoring, yearly;YES, georeferenced;AGRI_PARCEL LPI,POLYGON WITH Land Parcel Identification (LPI) is  available for agricultural parcel;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;Vector;;;;;;;Based on input by farmers but checks with remote sensing
Belgium;Groeicurve;Groeicurve per perceel / growth curve per field parcel (based on NDVI);Vlaamse overheid, Departement Landbouw & Visserij;;No restrictions;;O - Organisms;Remote sensed;will be yearly available soon (estimated spring 2021);regular monitoring, yearly;YES, georeferenced;AGRI_PARCEL LPI,POLYGON WITH Land Parcel Identification (LPI) is  available for agricultural parcel;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;Vector;;;;;;;
Denmark;DSPDB;Danish Soil Profile Database;Aarhus University;http://dx.doi.org/10.1080/00167223.1985.10649211;Restricted;;S - Soil;no/not relevant;2012;otherRestrictions;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;2,400 points total;;Soil profile database with profile and horizon descriptions. Soil properties measured on samples collected from pedogenetic horizons.;Conventional;Genetic-based horizons (A, Ap, B, C etc);NO;No;Collection of data from several surveys in different locations conducted 1980 - 2012.
Denmark;DSCDB;Danish Soil Classification Data Base;Aarhus University;Madsen, H.B., Nørr, A.H. and Holst, K.A. The Danish soil classification. The Royal Danish Geographical Society, Copenhagen, Denmark, 1992.;Restricted;;S - Soil;no/not relevant;1980;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;38,000 points total. Sampling densities,1 sample per 70 - 90 ha (0 - 20 cm). 1 sample per 600 ha (35 - 55 cm).;;Each point is a bulk sample of 25 - 30 subsamples collected at evenly spaced intervals within a 5000 m^2 area with a 15 mm auger.;Conventional;Other  depth intervals (specify in comments);NO;No;"Sampling intervals,0 - 20 cm depth; 20 - 40 cm (exceptionally), 35 - 55 cm (rarely)"
Denmark;DSMDB;Danish Soil Monitoring Data Base;Aarhus University;http://dx.doi.org/10.1111/ejss.12169;Restricted;;O - Organisms;no/not relevant;2019;regular monitoring 5-10 years;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;Points located in 7-km grid, about 830 in total;;The data represent bulk samples composed of 16 subsamples collected within a 50x50 m area. Samples were collected in 1986, 1997, 2009 and 2019.;None;Other  depth intervals (specify in comments);NO;No;Sampling intervals,0 - 25 cm, 25 - 50 cm, 50 - 75 cm, 75 - 100 cm
Denmark;DASDB;Danish Acid Sulphate Data Base;Aarhus University;https://doi.org/10.1016/S0341-8162(85)80031-X;Restricted;;S - Soil;no/not relevant;1984;it was a single survey;YES, georeferenced;POINT;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";;okt-25;8122 points in total;;Borehole database with samples collected with a hand auger from pedogenetic horizons within boreholes.;Conventional;Genetic-based horizons (A, Ap, B, C etc);NO;No;Covers wetland areas in Jutland.
Denmark;DSWDB;Danish Sinks Wetland Data Base;Aarhus University;http://dx.doi.org/10.1097/ss.0000000000000066;Restricted;;S - Soil;no/not relevant;2010;it was a single survey;YES, georeferenced;POINT;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";;okt-25;9751 points in total;;Soil properties measured on soil cores extracted from predefined depth intervals with a 5-cm hand auger. Data includes an evaluation of the quality of each core.;Decision tree classification;Other  depth intervals (specify in comments);NO;No;Covers historic areas with organic soils. Sampling intervals,0 - 30 cm, 34 - 64 cm, 68 - 98 cm, 102 - 132 cm.
Denmark;DDSM;Danish Digital Soil Maps;Aarhus University;;otherRestrictions;;S - Soil;no/not relevant;2012;it was a single survey;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;Rasters with 30.4 m resolution;;Digital soil maps produced at national level for Denmark, based on legacy soil data. Compiled from several studies.;Various, including Decision tree classification, Cubist regression models, machine learning model ensembles, artificial neural networks;"Standard GSM depth intervals; layers according to GlobalSoilMap ";YES;No;"GSM intervals, however, intervals at 0 - 30 cm have been merged to one. Uncertainty estimates available for some properties. References,http://dx.doi.org/10.1371/journal.pone.0105519; http://dx.doi.org/10.2136/sssaj2012.0275; http://dx.doi.org/10.1016/j.geoderma.2017.10.015; https://doi.org/10.1016/j.geoderma.2018.01.018"
Denmark;DFR;Danish Farmers' Refistrations;Aarhus University/Danish Agricultural Agency;https://lbst.dk/landbrug/kort-og-markblokke/markkort-og-markblokke/;Restricted;;O - Organisms;no/not relevant;2020;regular monitoring, yearly;YES, georeferenced;FARMER_Block LPI,POLYGON WITH Land Parcel Identification (LPI) is  available for farmer's block;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;About 600,000 field polygons per year;;Danish farmers' crop registrations at field level for the Common Agricultural Policy of the European Union. Polygons and crop data provided by farmers.;Polygons registered by farmers.;otherRestrictions;NO;No;No soil observations, only land use.
Ireland;IrishSIS;Irish Soil Information System;Teagasc/EPA;http://gis.teagasc.ie/soils/;otherRestrictions;No restrictions with the exception of the original point data to retain annonymity requirements under the terms of data collection;S - Soil;no/not relevant;2009-2014;it was a single survey;YES, georeferenced;DERIVED Soil Profiles linked to the polygons;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:250000;;mainly based on profile sampling;Conventional mapping,http://gis.teagasc.ie/soils/;Genetic-based horizons (A, Ap, B, C etc);YES;NO;
Ireland;SQUARE-SoilQualityAssessmentResearchproject;Soil Quality Assessment Research Project;Teagasc ;https://www.teagasc.ie/environment/soil/research/square/;Restricted;;S - Soil;Proximal sensed;2014-2015;it was a single survey;YES, georeferenced;otherRestrictions;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";;available as points;;;mainly based on profile sampling;Conventional mapping,http://gis.teagasc.ie/soils/;Genetic-based horizons (A, Ap, B, C etc);NO;NO;The data is point data at selected sites across the country to capture the main agroclimatic zones in Ireland. The data have not been extrapolated but contains detailed survey information - soil and management. 
Ireland;TellusGSI;Tellus Geophyical and Geochemical Survey;GSI;https://www.gsi.ie/en-ie/programmes-and-projects/tellus/Pages/default.aspx;No restrictions;;S - Soil;no/not relevant;2011-2023;it was a single survey;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;50-75;1 point per 4 km2;;Survey includes both remote (airborne) and ground-based geochemical surveying so does not fit into either 'remote' or 'proximal' but is both.;Gridded;Other  depth intervals (specify in comments);;NO;Sampled to 10cm depth
Ireland;NSDB;National Soil Database of Ireland;Teagasc/EPA;http://www.epa.ie/pubs/reports/research/land/nsdbfinalreport/;Restricted;;S - Soil;Proximal sensed;1995 & 2003-2005;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;available as points;2 points per 100 km2 = 1310 points.;;Soil sampling to 10cm depth based upon an 10km gridded design.;Geostatistics & Spatial statistics;0.1m;YES;no;
Slovakia;SK-BPEJ;Soil ecological units (land evaluation system);NPPC;http://www.podnemapy.sk/portal/verejnost/bpej/bpej.aspx;No restrictions;;S - Soil;no/not relevant;1971-2019;otherRestrictions;YES, georeferenced;DERIVED Soil Profiles linked to the polygons;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;3,513888889;;class area polygon maps based on soil profile observations;conventional mapping;defined as  topsoil/subsoil  only, without any other desription;NO;no;Fisrst data were colected 1971-1976. Continuous update on request
Slovakia;SK-CMS-P;National soil monitoring system;NPPC;"http://www.podnemapy.sk/portal/prave_menu/cms_p/cms_p.aspx ;http://envirozataze.enviroportal.sk";Restricted;;S - Soil;Proximal sensed;1993-2018;regular  monitoring 2-5 years;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;available as points;totaly 318 monitoring sites;;borehole/profile, chemical properties-disturbed samples, physical properties - undisturbed samples;conventional mapping;Other  depth intervals (specify in comments);NO;no;frequency of data collection - repetition 5 years, selected sites every year, depth intervals - (0-10, 20-30, 35-45 cm)
Slovakia;SK-PM400;Soil Map of Slovakiain 1:400k scale;NPPC;http://www.podnemapy.sk/poda400/viewer.htm;No restrictions;;S - Soil;no/not relevant;1993;it was a single survey;YES, georeferenced;DERIVED Soil Profiles linked to the polygons;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:400 000;;generalised class-area maps based on finer scale national mapping products;conventional mapping;otherRestrictions;NO;no;depth intervals not assumed
Slovakia;SK-AISOP;Agricultural Soil Profiles Database;NPPC;;Restricted;;S - Soil;Proximal sensed;1961-1970;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;available as points;17,741 points, 1 point per 120 ha of agricultural land;;profile;conventional mapping;Genetic-based horizons (A, Ap, B, C etc);NO;no;
Slovakia;SK-LPIS;National Land Parcel Identification System;Ministry of Agriculture and Rural Development;;Restricted;;;no/not relevant;2004-2020;regular monitoring, yearly;YES, georeferenced;PHYSICAL_Block_LPI,POLYGON WITH Land Parcel Identification (LPI) is  available for physical/topographical block;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;3,513888889;;aerial images/satellite images/ground survey;photo‑interpretation;otherRestrictions;NO;;
Slovakia;SK-08;Soil ecological units (land evaluation system);NPPC;http://www.podnemapy.sk/portal/verejnost/bpej/bpej.aspx;No restrictions;;S - Soil;no/not relevant;1971-2019;otherRestrictions;YES, georeferenced;DERIVED Soil Profiles linked to the polygons;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;3,513888889;;class area polygon maps based on soil profile observations;conventional mapping;defined as  topsoil/subsoil  only, without any other desription;NO;no;Fisrst data were colected 1971-1976. Continuous update on request
Slovakia;SK-09;National soil monitoring system;NPPC;"http://www.podnemapy.sk/portal/prave_menu/cms_p/cms_p.aspx ;http://envirozataze.enviroportal.sk";Restricted;;S - Soil;Proximal sensed;1993-2018;regular  monitoring 2-5 years;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;available as points;totaly 318 monitoring sites;;borehole/profile, chemical properties-disturbed samples, physical properties - undisturbed samples;conventional mapping;Other  depth intervals (specify in comments);NO;no;frequency of data collection - repetition 5 years, selected sites every year, depth intervals - (0-10, 20-30, 35-45 cm)
Slovakia;SK-10;Soil Map of Slovakiain 1:400k scale;NPPC;http://www.podnemapy.sk/poda400/viewer.htm;No restrictions;;S - Soil;no/not relevant;1993;it was a single survey;YES, georeferenced;DERIVED Soil Profiles linked to the polygons;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:400 000;;generalised class-area maps based on finer scale national mapping products;conventional mapping;otherRestrictions;NO;no;depth intervals not assumed
Slovakia;SK-11;Agricultural Soil Profiles Database;NPPC;;Restricted;;S - Soil;Proximal sensed;1961-1970;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;available as points;17,741 points, 1 point per 120 ha of agricultural land;;profile;conventional mapping;Genetic-based horizons (A, Ap, B, C etc);NO;no;
Slovakia;SK-12;National Land Parcel Identification System;Ministry of Agriculture and Rural Development;;Restricted;;;no/not relevant;2004-2020;regular monitoring, yearly;YES, georeferenced;PHYSICAL_Block_LPI,POLYGON WITH Land Parcel Identification (LPI) is  available for physical/topographical block;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;3,513888889;;aerial images/satellite images/ground survey;photo‑interpretation;otherRestrictions;NO;;
Switzerland;SWISSSOILDATASETVERSION5-2020;Swiss Soil Dataset Version 5 (2020);NABODAT;https://nabodat.ch/index.php/de/service/bodendatensatz;No restrictions;some sites in the dataset are anonymized (coordinates rounded to 1km);;;1960-2016;otherRestrictions;YES, georeferenced;POINT;otherRestrictions;Collection of Soil data from federal and cantonal projects. Not representative of the whole country area. Clusters of data in cantons with a lot of soil mapping data and agricultural land use.;available as points;;;mixed sampling type;;otherRestrictions;;LUCAS is part of this dataset (with anonymized coordinates);The Swiss Soil Dataset is updated yearly. The goal is to provide a harmonized dataset with data that the cantons manage on NABODAT, the swiss soil data management platform.
Belgium;CNSW;Digital Map of Walloon Soils;Public Service of Wallonia (SPW);Legrain X., Demarcin P., Colinet G., Bock L. ,cartographie des sols en Belgique ,aperçu historique et présentation des travaux actuels de valorisation et de révision de la Carte Numérique des Sols de Wallonie. Biotechnol. Agron. Soc. Environ., 2011, 15(S2) pp. 647-656;Restricted;" Downloadable on demand (owner) ; online visualization (http://geoportail.wallonie.be/catalogue/c5bedf2b-1cac-4231-9d9a-854e0ef2c9ce.html) ";;Proximal sensed;1947-1991;it was a single survey;YES, georeferenced;DERIVED Soil Profiles linked to the polygons;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;1:20.000 (scale);;Whole profile by soil horizons ;Conventional mapping;Genetic-based horizons (A, Ap, B, C etc);NO;Not applicable;
Belgium;AARDEWERK;Aardewerk database;Public Service of Wallonia (SPW);Van Orshoven S. and Vandenbroecke D. (1993) Guide de l’utilisation de Aardewerk – Base de données de profils pédologiques. Institut pour l’encouragement de la Recherche scientifique dans l’Industrie et l’Agriculture, Bruxelles, 44 p.;Restricted; Downloadable on demand (owner);;Proximal sensed;1947-1991;it was a single survey;YES, georeferenced;POINT;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;available as points;13.033 profiles;;Whole profile by soil horizons ;Not applicable;Genetic-based horizons (A, Ap, B, C etc);NO;Not yet;
Belgium;CARBIOSOL;Carbiosol map;Public Service of Wallonia (SPW);Chartin C., Kruger I., Van Wesemael B., Carnol M., (2017) Carbiosol, Carbone organique, biomasse et activité microbienne des sols ,vers un indicateur de la qualité des sols en Wallonie-Rapport final, 111 pages;Restricted;" Downloadable on demand (owner) ; online visualization (http://geoportail.wallonie.be/catalogue/47e4ea34-fe00-4712-b795-4a85fdab7dd7.html) ";;Proximal sensed;1949-1972 and 2004-2014;it was a single survey;YES, georeferenced;GRID;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;90 m (pixel size);;Top soil measurement;Digital Soil Mapping and geostatistic;defined as  topsoil/subsoil  only, without any other desription;YES;Not applicable;
Belgium;REQUASUD;REQUASUD database;REQUASUD asbl;http://www.requasud.be/outils/;Restricted; Downloadable on demand (owner);;Proximal sensed;1994-2020;otherRestrictions;YES, georeferenced;POINT;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;available as points;1.700.000 points;;Whole profile by fixed depths intervals;Not applicable;Other  depth intervals (specify in comments);NO;Not yet;"Montiroring,variable periodicity. Depth intervals,0-30 cm; 30-60 cm and 60-90 cm."
Latvia;Digitalprofiles;Digital soil database ( soil profiles);Ministry of Agriculture of the Republic of Latvia;https://geolatvija.lv/geo/p/319;No restrictions;;;no/not relevant;1960-1991;otherRestrictions;YES, georeferenced;DERIVED Soil Profiles linked to the polygons;FULL,spatially exhaustive for the whole country/agricultural lands;;75-100;1:10 000;;profile sampling, samples from topsoil and subsoil;;Genetic-based horizons (A, Ap, B, C etc);NO;No;
Latvia;Digitalpolygons;Digital soil database (soil polygons );Ministry of Agriculture of the Republic of Latvia;https://geolatvija.lv/geo/p/317;No restrictions;;;no/not relevant;1960-1991;otherRestrictions;YES, georeferenced;POLYGON, without LPI (Land Parcel Identification);FULL,spatially exhaustive for the whole country/agricultural lands;;75-100;1:10 000;;profile sampling (samples from topsoil and subsoil), soil sampling with augers. ;;Genetic-based horizons (A, Ap, B, C etc);NO;No;
Latvia;GeoChem;Geochemical Atlas of Latvia;Ministry of Environmental Protection and Regional Development of the Republic Latvia;N/A;otherRestrictions;Hard copy only;;no/not relevant;1997-2000;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands;;available as points;2584 points;;profile sampling, samples from topsoil and subsoil;;defined as  topsoil/subsoil  only, without any other desription;NO;No;
Latvia;SPPS;Soil agrochemical research database of the State Information System for Monitoring of Agricultural Plants (SISMAP);State plant protection service;http://www.vaad.gov.lv/sakums/informacija-sabiedribai/par-augsnu-agrokimisko-izpeti-un-minerala-slapekla-monitoringu.aspx;Restricted;;;no/not relevant;2004 - 2020;regular monitoring, yearly;YES, georeferenced;POINT;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";;available as points;101087 points;;Topsoil sampling;;Other  depth intervals (specify in comments);NO;No;Sampling depth intervals,0-20 cm
Latvia;SPPSN;Database on the monitoring of mineral nitrogen in soils of the SISMAP;State plant protection service;http://www.vaad.gov.lv/sakums/informacija-sabiedribai/par-augsnu-agrokimisko-izpeti-un-minerala-slapekla-monitoringu.aspx;Restricted;;;no/not relevant;2005 - 2020;regular monitoring, yearly;YES, georeferenced;POINT;NETWORK of pilots/experiments or identified farms, boundary of unit is related to management;;available as points;48 points;;Topsoil and subsoil sampling;;Other  depth intervals (specify in comments);NO;No;"Sampling depth intervals,0 - 30; 30-60; 60-90 cm"
